"Region","Europe (London)($)","Europe (Ireland)($)","Total costs($)"
"Region total","13497.4498196394","11649.0032185097","25146.4530381491"
"2025-09-01","2095.2283138586","1830.9790732468","3926.2073871054"
"2025-10-01","2137.5752263739","1788.3484825613","3925.9237089352"
"2025-11-01","2162.0112976552","1827.0853970752","3989.0966947304"
"2025-12-01","2210.6021065815","1866.2485254363","4076.8506320178"
"2026-01-01","2324.9995561067","2089.4096222561","4414.4091783628"
"2026-02-01","2567.0333190635","2246.932117934","4813.9654369975"
