"Usage type","EUW2-WarmStorage-ByteHrs-S3($)","EU-WarmStorage-ByteHrs-S3($)","EU-EUW2-CrossRegion-WarmBytes-S3($)","Total costs($)"
"Usage type total","306.1262476001","255.2483301447","18.1199365725","579.4945143173"
"2025-09-01","37.2721121519","31.0701990374","2.9955351287","71.337846318"
"2025-10-01","41.6712369646","34.7327843544","0.4266701822","76.8306915012"
"2025-11-01","43.7614798981","36.4731013841","1.3081188215","81.5427001037"
"2025-12-01","46.0712711878","38.3979409965","0.1514866511","84.6206988354"
"2026-01-01","62.9701223696","52.5397735032","9.8081891647","125.3180850375"
"2026-02-01","74.3800250281","62.0345308691","3.4299366243","139.8444925215"
