"Usage type","EUW2-WarmStorage-ByteHrs-S3-LAGV($)","EU-WarmStorage-ByteHrs-S3($)","Total costs($)"
"Usage type total","16975.8021424989","7233.699978146","24209.5021206449"
"2025-09-01","2697.1520833648","1210.9309630762","3908.083046441"
"2025-10-01","2771.0259061107","1210.9276366247","3981.9535427354"
"2025-11-01","2696.8568360818","1210.9063782818","3907.7632143636"
"2025-12-01","2755.7107445666","1210.9092549403","3966.6199995069"
"2026-01-01","2875.2403629929","1210.9034058062","4086.1437687991"
"2026-02-01","3179.8162093821","1179.1223394168","4358.9385487989"
