"Usage type","EUW2-WarmStorage-ByteHrs-S3($)","EU-WarmStorage-ByteHrs-S3($)","EU-EUW2-CrossRegion-WarmBytes-S3($)","Total costs($)"
"Usage type total","13497.4498196394","11271.8569549753","377.1462635344","25146.4530381491"
"2025-09-01","2095.2283138586","1749.2358283879","81.7432448589","3926.2073871054"
"2025-10-01","2137.5752263739","1784.8290845703","3.519397991","3925.9237089352"
"2025-11-01","2162.0112976552","1805.6259691072","21.459427968","3989.0966947304"
"2025-12-01","2210.6021065815","1845.7653584674","20.4831669689","4076.8506320178"
"2026-01-01","2324.9995561067","1942.4087066498","147.0009156063","4414.4091783628"
"2026-02-01","2567.0333190635","2143.9920077927","102.9401101413","4813.9654369975"
